MMSI,LAT,LON,SOG,COG,Point_Type
413974948,32.550005,119.489813,2.1,324.2,End
413994926,31.934,118.6061,0.0,92.8,Start
413994926,31.934,118.6061,0.0,92.8,End
413997355,23.072438,113.473718,5.5,125.9,Start
413997355,23.072438,113.473718,5.5,125.9,End
413998061,30.553103,120.429197,3.0,200.9,Start
413998061,30.553103,120.429197,3.0,200.9,End
413998531,32.190567,119.015317,5.7,255.7,Start
413998531,32.190567,119.015317,5.7,255.7,End
414514710,25.432785,119.383693,0.0,-1.0,Start
414514710,25.432785,119.383693,0.0,-1.0,End
415150185,36.821815,122.654742,1.1,0.0,Start
415150185,36.821815,122.654742,1.1,0.0,End
416004919,24.581755,121.866997,0.0,231.1,Start
416004919,24.581755,121.866997,0.0,231.1,End
419000004,18.912785,72.862507,9.7,348.4,Start
419000004,18.912785,72.862507,9.7,348.4,End
419001268,18.968217,70.825267,12.0,119.0,Start
419001268,18.968217,70.825267,12.0,119.0,End
419001302,23.795148,59.99588,14.4,111.3,Start
419001302,23.795148,59.99588,14.4,111.3,End
419001540,14.833867,59.4909,9.9,109.0,Start
419001540,14.833867,59.4909,9.9,109.0,End
419063100,13.08115,80.341335,0.3,21.6,Start
419063100,13.08115,80.341335,0.3,21.6,End
419738157,16.977215,72.6398,1.2,322.5,Start
419738157,16.977215,72.6398,1.2,322.5,End
431161000,-20.331672,154.58402,13.1,0.9,Start
431161000,-20.331672,154.58402,13.1,0.9,End
440000097,35.501445,129.37439,1.1,19.4,Start
440000097,35.501445,129.37439,1.1,19.4,End
441553000,24.57605,59.540167,12.3,119.0,Start
441553000,24.57605,59.540167,12.3,119.0,End
461000139,22.66789,59.404352,0.3,238.3,Start
461000139,22.667915,59.404432,0.1,297.1,End
461000140,22.66831,59.404617,0.5,239.6,Start
461000140,22.66831,59.404617,0.5,239.6,End
477141900,11.3259,59.49505,12.0,185.0,Start
477141900,12.498467,59.5953,11.7,185.0,End
477277000,18.505967,-179.544645,13.1,275.8,Start
477277000,18.505967,-179.544645,13.1,275.8,End
477638300,-20.76624,116.175633,0.1,238.0,Start
477638300,-20.76624,116.175633,0.1,238.0,End
477692800,22.715435,69.70012,3.6,1.4,Start
477692800,22.715435,69.70012,3.6,1.4,End
477831200,-17.132833,153.178808,17.1,166.8,Start
477831200,-17.132833,153.178808,17.1,166.8,End
477915400,12.678913,59.587032,11.6,286.1,Start
477915400,12.678913,59.587032,11.6,286.1,End
503000143,-21.35756,114.794025,7.7,237.9,Start
503000143,-21.35756,114.794025,7.7,237.9,End
503007240,-26.685395,153.133597,0.0,223.8,Start
503007240,-26.685395,153.133597,0.0,223.8,End
503012110,-24.762563,152.384333,0.0,-1.0,Start
503012110,-24.762563,152.384333,0.0,-1.0,End
503023280,-19.252013,146.822602,0.1,312.0,Start
503023280,-19.252013,146.822602,0.1,312.0,End
503027980,-20.25878,148.724013,0.6,109.6,Start
503027980,-20.25878,148.724013,0.6,109.6,End
503039790,-25.293707,152.910838,0.0,-1.0,Start
503039790,-25.293707,152.910838,0.0,-1.0,End
503068650,-12.757978,141.900622,0.0,86.7,Start
503068650,-12.757978,141.900622,0.0,86.7,End
503083330,-16.924873,145.780878,0.0,58.1,Start
503083330,-16.924873,145.780878,0.0,58.1,End
503255900,-19.259172,146.840425,0.0,194.6,Start
503255900,-19.259172,146.840425,0.0,194.6,End
503320400,-38.33621,144.74623,0.0,-1.0,Start
503320400,-38.33621,144.74623,0.0,-1.0,End
503331000,-10.916762,142.101213,10.8,223.2,Start
503331000,-10.59096,142.24504,1.1,219.9,End
503368000,-23.8312,151.242263,0.0,253.1,Start
503368000,-23.8312,151.242263,0.0,253.1,End
503400100,-21.958162,114.135708,0.1,52.9,Start
503400100,-21.958162,114.135708,0.1,52.9,End
503506600,-21.165632,115.545332,17.2,221.3,Start
503506600,-21.165632,115.545332,17.2,221.3,End
503543000,-12.672932,141.870212,0.0,308.2,Start
503543000,-12.672932,141.870212,0.0,308.2,End
503594000,-20.625537,116.750245,0.0,67.8,Start
503594000,-20.625537,116.750245,0.0,67.8,End
503600000,-20.662283,116.685467,0.0,133.0,Start
503600000,-20.662283,116.685467,0.0,133.0,End
503702300,-12.47144,130.846372,0.0,-1.0,Start
503702300,-12.47144,130.846372,0.0,-1.0,End
525015123,-10.19089,123.526565,0.3,138.8,Start
525015123,-10.19089,123.526565,0.3,138.8,End
525019582,-1.227172,116.80277,0.0,205.4,Start
525019582,-1.227172,116.80277,0.0,205.4,End
525025061,-6.938672,110.421487,3.7,348.2,Start
525025061,-6.938672,110.421487,3.7,348.2,End
533131049,1.30195,103.755748,0.0,211.2,Start
533131049,1.30195,103.755748,0.0,211.2,End
533150044,2.800533,101.319852,0.0,211.2,Start
533150044,2.800533,101.319852,0.0,211.2,End
533380000,24.082132,59.288877,13.3,293.1,Start
533380000,24.082132,59.288877,13.3,293.1,End
538002999,14.769028,59.345225,9.3,111.7,Start
538002999,14.769028,59.345225,9.3,111.7,End
538004903,-18.491682,150.893543,10.4,21.6,Start
538004903,-18.491682,150.893543,10.4,21.6,End
538005599,14.013812,59.678022,13.1,92.9,Start
538005599,14.013812,59.678022,13.1,92.9,End
538005837,19.73303,-66.0285,11.5,88.3,Start
538005837,19.73303,-66.0285,11.5,88.3,End
538006216,19.461723,59.91542,12.6,205.9,Start
538006216,20.48,59.963333,12.0,181.0,End
538007493,-15.002527,145.394272,11.9,166.6,Start
538007493,-15.002527,145.394272,11.9,166.6,End
538008929,-19.8037,118.338083,0.2,100.0,Start
538008929,-19.8037,118.338083,0.2,100.0,End
538008956,-19.880675,117.813747,1.9,263.8,Start
538008956,-19.880675,117.813747,1.9,263.8,End
538009301,38.93773,-76.4074,0.2,341.0,Start
538009301,38.93773,-76.4074,0.2,341.0,End
542346110,1.080032,103.896513,0.0,-1.0,Start
542346110,1.080032,103.896513,0.0,-1.0,End
563011240,1.305757,103.753055,0.0,-1.0,Start
563011240,1.305757,103.753055,0.0,-1.0,End
563033110,1.118938,103.930902,0.0,-1.0,Start
563033110,1.118938,103.930902,0.0,-1.0,End
563041187,1.301347,103.729457,0.2,-1.0,Start
563041187,1.301347,103.729457,0.2,-1.0,End
563066200,23.165263,59.492072,9.6,145.1,Start
563066200,23.165263,59.492072,9.6,145.1,End
563093800,37.673333,123.026667,11.0,282.0,Start
563093800,37.673333,123.026667,11.0,282.0,End
563916000,11.737633,109.445883,15.2,186.0,Start
563916000,11.737633,109.445883,15.2,186.0,End
566184000,40.66732,-74.07065,0.0,115.9,Start
566184000,40.66732,-74.07065,0.0,115.9,End
566402000,24.151398,59.48714,14.1,293.6,Start
566402000,24.151398,59.48714,14.1,293.6,End
566568000,-20.247185,116.674545,7.0,247.9,Start
566568000,-20.247185,116.674545,7.0,247.9,End
574092188,18.149073,106.572315,1.3,125.2,Start
574092188,18.149073,106.572315,1.3,125.2,End
574560079,19.224298,105.836118,6.0,272.5,Start
574560079,19.224298,105.836118,6.0,272.5,End
614880002,25.36087,119.888512,2.7,189.9,Start
614880002,25.36087,119.888512,2.7,189.9,End
636012195,24.041667,59.59,1.0,170.0,Start
636012195,24.041667,59.59,1.0,170.0,End
636013381,17.333283,59.40825,12.0,60.0,Start
636013381,17.333283,59.40825,12.0,60.0,End
636013615,17.61016,-64.65208,1.8,213.1,Start
636013615,17.61016,-64.65208,1.8,213.1,End
636016699,-12.367197,121.305208,11.5,114.1,Start
636016699,-12.367197,121.305208,11.5,114.1,End
636017500,23.755277,59.893538,1.2,129.2,Start
636017500,23.755277,59.893538,1.2,129.2,End
636017900,23.694213,59.571685,11.7,139.5,Start
636017900,23.694213,59.571685,11.7,139.5,End
636018737,24.14375,59.971213,9.1,289.2,Start
636018737,24.14375,59.971213,9.1,289.2,End
636020320,-19.043888,117.23336,12.9,171.6,Start
636020320,-19.043888,117.23336,12.9,171.6,End
636021153,32.30922,-79.50677,1.3,358.5,Start
636021153,32.30922,-79.50677,1.3,358.5,End
636092728,-39.41282,147.709023,11.9,48.5,Start
636092728,-39.41282,147.709023,11.9,48.5,End
636092785,12.136778,59.56063,12.2,110.6,Start
636092785,12.136778,59.56063,12.2,110.6,End
986547855,38.465492,118.683597,5.2,325.9,Start
986547855,38.465492,118.683597,5.2,325.9,End
