TripID,MMSI,MeanSOG,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,DepTime,ArrTime,DepLat,DepLon,ArrLat,ArrLon,DepCountry,DepCity,ArrCountry,ArrCity,Duration
80,366987710,0.0,NORTHERN VICTOR,IMO7208431,WCZ6534,1001.0,115.68,21.34,6.4,30.0,2017-01-01 00:00:06,2017-01-01 02:38:17,45.56611,-122.72618,45.56613,-122.72617,US,West Haven,US,West Haven,0 days 02:38:11
87,368949000,0.0,SS PACIFIC TRACKER,IMO6507921,WQVZ,99.0,203.0,23.0,9.0,99.0,2017-01-01 00:01:35,2017-01-01 02:43:35,45.56866,-122.72263,45.56857,-122.72268,US,Portland,US,Portland,0 days 02:42:00
97,316003659,1.5839416058394131,SEASPAN CAVALIER,IMO7434808,CZ5656,1025.0,25.23,7.55,2.6,52.0,2017-01-01 00:00:10,2017-01-01 02:39:00,48.90995,-123.61249,48.89056,-123.62048,CA,North Cowichan,CA,North Cowichan,0 days 02:38:50
113,636015936,0.1434782608695652,LUCKY STAR,IMO9231327,D5DP2,1004.0,224.94,32.26,14.1,70.0,2017-01-01 00:00:31,2017-01-01 02:42:36,46.20876,-123.80217,46.20857,-123.80218,US,Astoria,US,Astoria,0 days 02:42:05
114,259776000,0.1346938775510204,GOYA,IMO9389825,LAFQ7,1004.0,224.9,32.29,14.2,70.0,2017-01-01 00:00:57,2017-01-01 02:36:54,47.30974000000001,-122.49719,47.30957,-122.49515,US,Fircrest,US,Fircrest,0 days 02:35:57
118,366946000,0.0088235294117647,PACIFIC GLACIER,IMO7391276,WRYH,1001.0,84.0,13.42,4.9,30.0,2017-01-01 00:00:10,2017-01-01 02:38:38,47.63105,-122.38215,47.63107,-122.38212,US,Seattle,US,Seattle,0 days 02:38:28
125,355260000,0.3377049180327871,NORD INTEGRITY,IMO9568031,3FVP7,80.0,180.0,32.0,11.4,80.0,2017-01-01 00:00:04,2017-01-01 02:33:19,37.75152,-122.34335,37.75147,-122.34418,US,San Francisco,US,San Francisco,0 days 02:33:15
133,367069240,7.523404255319147,C F CAMPBELL,IMO7417379,WDC7294,1025.0,32.19,9.48,4.2,31.0,2017-01-01 00:00:03,2017-01-01 02:39:12,48.57118,-122.75411,48.24408,-122.81452,US,Anacortes,US,Coupeville,0 days 02:39:09
140,316001267,5.959589041095892,SKEENA QUEEN,IMO9137090,CFL8497,1012.0,110.0,24.0,2.8,69.0,2017-01-01 00:00:00,2017-01-01 02:43:49,48.75733,-123.44069,48.68939,-123.40966,CA,North Saanich,CA,North Saanich,0 days 02:43:49
141,303656000,0.0,ALASKAN LEGEND,IMO9271432,WDD2074,1024.0,287.25,50.0,18.8,84.0,2017-01-01 00:00:01,2017-01-01 02:36:01,45.56473,-122.72515,45.56473,-122.72513,US,Portland,US,Portland,0 days 02:36:00
142,538004110,0.0652173913043478,AENEAS,IMO9585730,V7VF6,1004.0,229.0,32.26,14.6,70.0,2017-01-01 00:01:13,2017-01-01 02:40:11,49.2874,-123.21498,49.28687,-123.21425,CA,West End,CA,West End,0 days 02:38:58
145,366761830,0.0006944444444444,U S INTREPID,IMO7802536,WDE2670,1001.0,56.39,12.2,4.7,30.0,2017-01-01 00:00:03,2017-01-01 02:40:53,48.52164000000001,-122.61102,48.52163,-122.61102,US,Anacortes,US,Anacortes,0 days 02:40:50
152,368293000,0.000735294117647,ALASKA OCEAN,IMO8030477,KRCT,1001.0,114.6,18.28,3.6,30.0,2017-01-01 00:00:06,2017-01-01 02:39:54,47.63014,-122.38208,47.63011,-122.3821,US,Seattle,US,Seattle,0 days 02:39:48
178,311015700,0.0225,CLIPPER LIS,IMO9515723,C6V2065,70.0,169.0,28.0,5.9,70.0,2017-01-01 00:00:34,2017-01-01 02:39:31,49.2925,-123.23417,49.29167,-123.23317,CA,West Vancouver,CA,West End,0 days 02:38:57
183,366980250,0.0642335766423356,BRIAN S,IMO8841943,WCP9410,1025.0,30.05,8.84,3.5,31.0,2017-01-01 00:00:08,2017-01-01 02:36:06,48.13625,-123.4614,48.13627,-123.46138,US,Port Angeles,US,Port Angeles,0 days 02:35:58
185,354855000,0.0595744680851064,UNIWELL,IMO9309643,3EGP,1004.0,189.98,32.26,12.0,70.0,2017-01-01 00:00:01,2017-01-01 02:36:01,45.63461,-122.70958,45.63454,-122.70964,US,Vancouver,US,Vancouver,0 days 02:36:00
189,366948190,0.1492307692307691,ALASKAN FRONTIER,IMO9244659,WDB7815,1024.0,287.25,50.0,18.8,81.0,2017-01-01 00:00:06,2017-01-01 02:34:43,48.85775,-122.75655,48.86015,-122.75725,US,Birch Bay,US,Birch Bay,0 days 02:34:37
190,367133160,7.503149606299213,TECUMSEH,IMO7511503,WTW9257,1025.0,37.34,10.37,4.2,31.0,2017-01-01 00:00:06,2017-01-01 02:32:56,45.64751,-125.0281,45.85652,-124.68246,US,Rockaway Beach,US,Cannon Beach,0 days 02:32:50
191,367007870,0.0739130434782609,HENRY SAUSE,IMO7530078,WTW9259,1025.0,30.28,7.93,4.2,32.0,2017-01-01 00:00:28,2017-01-01 02:30:30,48.74474,-122.49545,48.74475,-122.49543,US,Bellingham,US,Bellingham,0 days 02:30:02
192,366904000,0.1576923076923077,VISION,IMO9542609,WDF6306,1025.0,41.15,12.8,5.8,31.0,2017-01-01 00:01:29,2017-01-01 02:34:27,48.60206,-122.54278,48.60206,-122.54288,US,Anacortes,US,Anacortes,0 days 02:32:58
193,319028400,0.0877551020408163,FOUR DIAMOND,IMO9416446,ZGBO4,1004.0,180.01,30.0,9.8,79.0,2017-01-01 00:00:23,2017-01-01 02:27:22,37.72867,-122.327,37.72867,-122.3265,US,Brisbane,US,Brisbane,0 days 02:26:59
198,316052000,0.0,SIR WILFRID LAURIER,IMO8320456,CGJK,1018.0,82.96,16.24,6.1,51.0,2017-01-01 00:01:06,2017-01-01 02:31:03,48.42048,-123.38875,48.42047,-123.38875,CA,Victoria,CA,Victoria,0 days 02:29:57
199,636012707,0.0,YM CYPRESS,IMO9224489,A8HD4,1004.0,274.69,40.0,14.0,70.0,2017-01-01 00:00:47,2017-01-01 02:36:45,47.27048,-122.41792,47.27052,-122.4179,US,Tacoma,US,Tacoma,0 days 02:35:58
208,366982330,0.6968253968253969,POINT VICENTE,IMO7531840,WDB9763,1025.0,32.03,10.98,4.1,52.0,2017-01-01 00:00:03,2017-01-01 02:41:30,37.90622000000001,-122.36227,37.90558,-122.37174,US,Richmond,US,Richmond,0 days 02:41:27
209,316003447,0.0318518518518518,SNOW DRIFT,IMO7823023,CZ4108,1001.0,24.31,7.01,2.7,30.0,2017-01-01 00:00:02,2017-01-01 02:39:32,49.11971,-123.16771,49.11968,-123.16769,CA,Richmond,CA,Richmond,0 days 02:39:30
213,316003483,0.0107142857142857,ARCTIC TAGLU,IMO7601774,CZ7210,1025.0,33.53,10.83,4.0,52.0,2017-01-01 00:00:05,2017-01-01 02:43:53,49.13925,-123.04522,49.13927,-123.04523,CA,Ladner,CA,Ladner,0 days 02:43:48
219,564748000,0.0,RUBY INDAH,IMO9172416,9VND,1004.0,229.03,36.5,12.8,70.0,2017-01-01 00:01:45,2017-01-01 02:43:47,49.30445,-123.05981,49.30432,-123.05996,CA,North Vancouver,CA,North Vancouver,0 days 02:42:02
229,636013521,7.779069767441863,APL MINNESOTA,IMO9350018,A8NM5,1004.0,293.18,40.0,14.0,70.0,2017-01-01 00:00:01,2017-01-01 02:41:36,37.798,-122.32273,37.7819,-122.58483,US,Emeryville,US,Tamalpais Valley,0 days 02:41:35
230,366998680,0.0,PATRIOT,IMO8332473,WDC2859,1025.0,28.96,10.37,3.6,52.0,2017-01-01 00:00:04,2017-01-01 00:36:23,38.04306,-122.13202,38.04304000000001,-122.132,US,Martinez,US,Martinez,0 days 00:36:19
233,367134000,8.560714285714287,OVERSEAS LOS ANGELES,IMO9353539,WABS,1024.0,183.2,32.2,12.2,80.0,2017-01-01 00:00:09,2017-01-01 02:39:18,37.59802,-123.00919,37.63493,-123.44362,US,Bolinas,US,Inverness,0 days 02:39:09
234,565328000,0.2019230769230768,OCEAN HARMONY,IMO9432529,9V9034,70.0,175.0,29.0,8.7,70.0,2017-01-01 00:01:53,2017-01-01 02:40:51,48.34617,-123.34229,48.34481,-123.33972,CA,Victoria,CA,Victoria,0 days 02:38:58
237,271041953,0.0288461538461538,FLAMA,IMO9470076,TCYP3,70.0,229.0,32.0,6.1,70.0,2017-01-01 00:00:03,2017-01-01 02:38:53,47.62412,-122.37126,47.62416,-122.37128,US,Seattle,US,Seattle,0 days 02:38:50
265,220402000,0.06,TORM CAMILLA,IMO9263693,OYZZ2,1024.0,182.88,32.2,12.0,80.0,2017-01-01 00:00:25,2017-01-01 02:42:23,49.29983,-122.93673,49.29792,-122.93715,CA,Burnaby,CA,Burnaby,0 days 02:41:58
269,367078130,0.0,SEA STORM,IMO0628958,WDC7865,30.0,40.0,10.0,4.0,30.0,2017-01-01 00:00:05,2017-01-01 02:40:52,47.66698,-122.38879,47.66698,-122.38878,US,Seattle,US,Seattle,0 days 02:40:47
270,255805944,11.079850746268662,EVER CONQUEST,IMO9293818,CQIF4,1004.0,333.91,42.8,14.5,79.0,2017-01-01 00:00:00,2017-01-01 02:44:09,34.38773,-120.65413999999998,34.72155,-121.0654,US,Lompoc,US,Vandenberg Air Force Base,0 days 02:44:09
276,311037800,20.3608108108108,VICTORIA CLIPPER IV,IMO9059999,C6YL9,1012.0,40.0,10.1,2.4,60.0,2017-01-01 00:00:01,2017-01-01 02:42:14,48.24066,-122.97363,47.58787,-122.35332,US,Sequim,US,Seattle,0 days 02:42:13
283,367304990,0.0057692307692307,COCHISE,IMO9415595,WDD8952,1025.0,39.1,10.66,4.9,31.0,2017-01-01 00:02:08,2017-01-01 02:41:08,37.7749,-122.38307,37.77486,-122.38302,US,San Francisco,US,San Francisco,0 days 02:39:00
284,366929710,7.882638888888877,COHO,IMO5076949,WM4599,1012.0,104.09,22.0,3.8,60.0,2017-01-01 00:00:05,2017-01-01 02:42:28,48.42178,-123.37208,48.12248,-123.43016,CA,Victoria,US,Port Angeles,0 days 02:42:23
288,636014073,9.992957746478869,MOONLIGHT SERENADE,IMO9392810,A8RD2,1004.0,171.59,27.0,10.4,79.0,2017-01-01 00:00:02,2017-01-01 02:45:23,48.5071,-124.74952,48.48112,-125.4373,US,Forks,CA,Ucluelet,0 days 02:45:21
290,369959000,0.0039215686274509,OSCAR DYSON,IMO9270335,WTEP,1020.0,63.57,15.0,5.9,99.0,2017-01-01 00:02:00,2017-01-01 02:31:57,48.72317,-122.51483,48.72317,-122.51483,US,Bellingham,US,Bellingham,0 days 02:29:57
299,366971980,0.0014492753623188,MILLENNIUM STAR,IMO9228942,WDA2184,1025.0,32.9,10.36,4.9,32.0,2017-01-01 00:00:04,2017-01-01 02:37:14,47.57363,-122.34507,47.57362,-122.34507,US,Seattle,US,Seattle,0 days 02:37:10
321,306258000,0.036,VICTORIA CLIPPER,IMO8520757,PJAO,1012.0,40.42,9.45,1.6,69.0,2017-01-01 00:01:36,2017-01-01 02:46:32,48.42274000000001,-123.37384,48.42275,-123.37385,CA,Victoria,CA,Victoria,0 days 02:44:56
326,316003668,0.0791999999999998,SEASPAN GREG,IMO6420484,VGNK,1023.0,99.07,17.28,3.9,91.0,2017-01-01 00:00:13,2017-01-01 02:43:52,49.14336,-123.03603,49.14336,-123.03602,CA,Ladner,CA,Ladner,0 days 02:43:39
332,316091000,0.072,CCGS TANU,IMO6817754,CGBY,1018.0,54.69,9.96,3.3,51.0,2017-01-01 00:01:33,2017-01-01 02:31:34,48.65402,-123.45228,48.654,-123.45229,CA,North Saanich,CA,North Saanich,0 days 02:30:01
338,229567000,0.0,ABML GRACE,IMO9224738,9HA3415,1004.0,289.0,45.0,17.8,70.0,2017-01-01 00:00:12,2017-01-01 02:43:11,49.01537,-123.15518,49.01542,-123.15517,US,Point Roberts,US,Point Roberts,0 days 02:42:59
339,338693000,0.0,OCEAN PEACE,IMO8417742,WAY5182,1001.0,66.76,11.26,4.8,30.0,2017-01-01 00:00:00,2017-01-01 02:41:19,47.62855,-122.38377,47.62862,-122.38378,US,Seattle,US,Seattle,0 days 02:41:19
340,303294000,11.441666666666665,ALASKAN EXPLORER,IMO9244661,WDB9918,1024.0,287.25,50.0,18.8,80.0,2017-01-01 00:00:09,2017-01-01 02:39:39,39.17318,-125.78507,39.67918,-125.79795,US,Fort Bragg,US,Ferndale,0 days 02:39:30
341,353446000,0.1854166666666665,HANJIN SCARLET,IMO9624287,3EUL5,70.0,255.0,37.0,8.7,70.0,2017-01-01 00:02:14,2017-01-01 02:29:12,48.79526,-123.22924,48.79245,-123.22395,CA,North Saanich,CA,North Saanich,0 days 02:26:58
347,366688750,0.0041666666666666,WESTWARD,IMO7308322,WDC8769,30.0,25.0,8.0,3.0,30.0,2017-01-01 00:00:45,2017-01-01 02:36:43,47.6575,-122.37041,47.65747,-122.37037,US,Seattle,US,Seattle,0 days 02:35:58
355,538004381,0.336,FEDERAL SKEENA,IMO9595890,V7WS5,1004.0,189.9,28.36,10.5,70.0,2017-01-01 00:00:01,2017-01-01 02:44:25,46.20553,-123.78863,46.20635,-123.78979,US,Astoria,US,Astoria,0 days 02:44:24
356,233933000,0.0,CABLE INNOVATOR,IMO9101132,MVEP4,1005.0,145.5,24.04,8.5,90.0,2017-01-01 00:02:23,2017-01-01 02:41:24,48.41473,-123.38845,48.4147,-123.38841,CA,Victoria,CA,Victoria,0 days 02:39:01
358,367008020,0.0,ARTHUR BRUSCO,IMO7035315,WDC3449,1025.0,30.57,9.35,3.6,31.0,2017-01-01 00:00:03,2017-01-01 02:44:34,46.20121,-123.387,46.20123,-123.387,US,Cathlamet,US,Cathlamet,0 days 02:44:31
365,367513220,2.326373626373626,VANCOUVER,IMO9060106,WDG2203,1025.0,22.89,8.53,3.2,52.0,2017-01-01 00:00:00,2017-01-01 02:32:55,45.63463,-122.78428,45.64354,-122.75234,US,Felida,US,Lake Shore,0 days 02:32:55
369,316011408,14.513380281690132,COASTAL INSPIRATION,IMO9332767,CFN4970,1012.0,160.0,28.2,5.8,69.0,2017-01-01 00:00:01,2017-01-01 02:38:51,49.15892,-123.62811,49.1157,-123.46874,CA,Ladysmith,CA,Gibsons,0 days 02:38:50
376,367348005,0.000709219858156,HARMONY 1,IMO7917666,WDE4075,90.0,28.0,8.0,3.0,90.0,2017-01-01 00:00:05,2017-01-01 02:39:44,47.66015,-122.38119,47.66018,-122.38115,US,Seattle,US,Seattle,0 days 02:39:39
390,367413000,0.0028571428571428,JAMES DUNLAP,IMO9133965,WCV9860,1025.0,30.78,10.94,5.2,52.0,2017-01-01 00:00:07,2017-01-01 02:44:55,47.98267,-122.22,47.98267,-122.22,US,Everett,US,Everett,0 days 02:44:48
393,316005618,0.0328467153284671,PACIFIC CHIEF,IMO6712174,CY8257,1025.0,24.39,7.83,3.5,52.0,2017-01-01 00:00:19,2017-01-01 02:41:25,49.29777,-123.02916,49.29778,-123.02921,CA,North Vancouver,CA,North Vancouver,0 days 02:41:06
395,371795000,11.438938053097344,GRANVILLE BRIDGE,IMO9305697,3EGM7,1004.0,284.71,40.0,14.0,70.0,2017-01-01 00:00:28,2017-01-01 02:44:52,49.01708,-123.15347,48.7013,-123.24768,US,Point Roberts,CA,North Saanich,0 days 02:44:24
411,366565000,0.0474452554744525,KEYSTONE STATE,IMO6605022,WCJI,1004.0,203.82,23.22,10.2,70.0,2017-01-01 00:00:00,2017-01-01 02:42:51,37.77357,-122.30257,37.77361,-122.30255,US,Oakland,US,Oakland,0 days 02:42:51
416,303436000,0.0215686274509803,W C PARK RESPONDER,IMO9043835,WBO8587,1011.0,63.55,13.41,4.4,54.0,2017-01-01 00:01:17,2017-01-01 02:40:18,48.12461,-123.44042,48.12462,-123.44043,US,Port Angeles,US,Port Angeles,0 days 02:39:01
441,369703000,0.0,OCEAN RELIANCE,IMO9275438,WADY,1025.0,38.71,12.8,5.8,89.0,2017-01-01 00:00:00,2017-01-01 02:42:07,45.56776,-122.73803999999998,45.56776,-122.73801,US,West Haven,US,West Haven,0 days 02:42:07
449,366887930,0.0692307692307691,GUARD,IMO9139830,WCY2823,1025.0,36.58,12.65,4.2,52.0,2017-01-01 00:00:04,2017-01-01 02:41:13,47.58991,-122.34981,47.58989,-122.34981,US,Seattle,US,Seattle,0 days 02:41:09
452,366785930,0.0,OLMSTED,IMO8984898,WCZ9401,1019.0,32.61,8.54,3.7,37.0,2017-01-01 00:02:20,2017-01-01 02:36:42,47.66728,-122.39308,47.66728,-122.39309,US,Seattle,US,Seattle,0 days 02:34:22
455,355320000,0.2106382978723406,KIRKEHOLMEN,IMO9553402,3FIV4,1024.0,144.22,23.01,8.9,80.0,2017-01-01 00:00:07,2017-01-01 02:42:26,48.6213,-122.54675,48.6212,-122.54693,US,Anacortes,US,Anacortes,0 days 02:42:19
468,368067000,0.0277372262773722,EAGLEVIEW,IMO9472361,WDE6604,1005.0,76.22,16.46,4.5,79.0,2017-01-01 00:00:07,2017-01-01 02:38:35,48.12533,-123.44067,48.12533,-123.44067,US,Port Angeles,US,Port Angeles,0 days 02:38:28
478,316028782,0.0218309859154929,SMIT VENTA,IMO9402457,CFN6763,1025.0,28.75,10.43,3.7,52.0,2017-01-01 00:00:00,2017-01-01 02:41:47,49.29094,-123.06086,49.29096,-123.06086,CA,North Vancouver,CA,North Vancouver,0 days 02:41:47
